Codigo da Linha,Nome da Linha
508,508 - BOAVISTA - CABO DO MUNDO (Via MAR Shop.)
508,508 - BOAVISTA - CABO DO MUNDO (Via MAR Shop.)
508,508 - BOAVISTA - CABO DO MUNDO (Via MAR Shop.)
508,508 - BOAVISTA - CABO DO MUNDO (Via MAR Shop.)
508,508 - BOAVISTA - CABO DO MUNDO (Via MAR Shop.)
508,508 - BOAVISTA - CABO DO MUNDO (Via MAR Shop.)
508,508 - BOAVISTA - CABO DO MUNDO (Via MAR Shop.)
508,508 - BOAVISTA - CABO DO MUNDO (Via MAR Shop.)
508,508 - BOAVISTA - CABO DO MUNDO (Via MAR Shop.)
508,508 - BOAVISTA - CABO DO MUNDO (Via MAR Shop.)
ANDAR,Andar a pe
300,300 - CIRCULAR HOSPITAL DE S.JOÃO-ALIADOS
300,300 - CIRCULAR HOSPITAL DE S.JOÃO-ALIADOS
300,300 - CIRCULAR HOSPITAL DE S.JOÃO-ALIADOS
300,300 - CIRCULAR HOSPITAL DE S.JOÃO-ALIADOS
300,300 - CIRCULAR HOSPITAL DE S.JOÃO-ALIADOS
300,300 - CIRCULAR HOSPITAL DE S.JOÃO-ALIADOS
300,300 - CIRCULAR HOSPITAL DE S.JOÃO-ALIADOS
ANDAR,Andar a pe
603,603 - MARQUÊS-MAIA
ANDAR,Andar a pe
803,803 - BOAVISTA-RIO TINTO(Esc. Sec.)
803,803 - BOAVISTA-RIO TINTO(Esc. Sec.)
